2022-09-30 09:17:05.382269 Start \(≧▽≦)/
2022-09-30 09:17:05.382348 Loading data from pkl...
2022-09-30 09:17:06.613260 Loaded Data (=ﾟωﾟ)ﾉ
2022-09-30 09:17:44.420794 Step 27/27: loss = 3.118, loss_main = 3.117, loss_regu = 0.001
2022-09-30 09:17:44.464593 Train 5/100 {'loss': 3.2458271362163402, 'loss_main': 3.2447284239309804, 'precision': 0.10056980056980057}
2022-09-30 09:17:44.649855 Step 0/27: loss = 3.100, loss_main = 3.099, loss_regu = 0.001
2022-09-30 09:17:44.859810 Step 1/27: loss = 3.109, loss_main = 3.108, loss_regu = 0.001
2022-09-30 09:17:45.075978 Step 2/27: loss = 3.095, loss_main = 3.094, loss_regu = 0.001
2022-09-30 09:17:45.269853 Step 3/27: loss = 3.106, loss_main = 3.105, loss_regu = 0.001
2022-09-30 09:17:45.465542 Step 4/27: loss = 3.130, loss_main = 3.129, loss_regu = 0.001
2022-09-30 09:17:45.661400 Step 5/27: loss = 3.107, loss_main = 3.106, loss_regu = 0.001
2022-09-30 09:17:45.859881 Step 6/27: loss = 3.083, loss_main = 3.082, loss_regu = 0.001
2022-09-30 09:17:46.057056 Step 7/27: loss = 3.099, loss_main = 3.098, loss_regu = 0.001
2022-09-30 09:17:46.233378 Step 8/27: loss = 3.069, loss_main = 3.068, loss_regu = 0.001
2022-09-30 09:17:46.439154 Step 9/27: loss = 3.088, loss_main = 3.087, loss_regu = 0.001
2022-09-30 09:17:46.631536 Step 10/27: loss = 3.121, loss_main = 3.120, loss_regu = 0.001
2022-09-30 09:17:46.834838 Step 11/27: loss = 3.109, loss_main = 3.108, loss_regu = 0.001
2022-09-30 09:17:47.046071 Step 12/27: loss = 3.129, loss_main = 3.128, loss_regu = 0.001
2022-09-30 09:17:47.250209 Step 13/27: loss = 3.098, loss_main = 3.097, loss_regu = 0.001
2022-09-30 09:17:47.435226 Step 14/27: loss = 3.071, loss_main = 3.070, loss_regu = 0.001
2022-09-30 09:17:47.623922 Step 15/27: loss = 3.103, loss_main = 3.102, loss_regu = 0.001
2022-09-30 09:17:47.795851 Step 16/27: loss = 3.064, loss_main = 3.063, loss_regu = 0.001
2022-09-30 09:17:48.000422 Step 17/27: loss = 3.096, loss_main = 3.095, loss_regu = 0.001
